271,El Dorado,null,null,null
272,El Dovio,null,null,null
273,El Espino,null,null,null
274,El Guacamayo,null,null,null
275,El Guamo,null,null,null
276,El Litoral de San Juan,null,null,null
277,El Molino,null,null,null
278,El Paso,null,null,null
279,El Paujil,null,null,null
280,El Penon,null,null,null
281,El Pinon,null,null,null
282,El Playon,null,null,null
283,El Reten,null,null,null
284,El Retorno,null,null,null
285,El Rosal,null,null,null
286,El Rosario,null,null,null
287,El Tablon,null,null,null
288,El Tambo,null,null,null
289,El Tarra,null,null,null
290,El Zulia,null,null,null
291,Elias,null,null,null
292,Encino,null,null,null
293,Enciso,null,null,null
294,Entrerrios,null,null,null
295,Envigado,null,null,null
296,Espinal,null,null,null
297,Facatativa,null,null,null
298,Falan,null,null,null
299,Filadelfia,null,null,null
300,Filandia,null,null,null
301,Firavitoba,null,null,null
302,Flandes,null,null,null
303,Florencia,null,null,null
304,Floresta,null,null,null
305,Florian,null,null,null
306,Florida,null,null,null
307,Floridablanca,null,null,null
308,Fomeque,null,null,null
309,Fonseca,null,null,null
310,Fortul,null,null,null
311,Fosca,null,null,null
312,Francisco Pizarro,null,null,null
313,Fredonia,null,null,null
314,Fresno,null,null,null
315,Frontino,null,null,null
316,Fuente de Oro,null,null,null
317,Fundacion,null,null,null
318,Funes,null,null,null
319,Funza,null,null,null
320,Fquene,null,null,null
321,Fusagasuga,null,null,null
322,Gachala,null,null,null
323,Gachancipa,null,null,null
324,Gachantiva,null,null,null
325,Gacheta,null,null,null
326,Galan,null,null,null
327,Galapa,null,null,null
328,Galeras (Nueva Granada),null,null,null
329,Gama,null,null,null
330,Gamarra,null,null,null
331,Gambita,null,null,null
332,Gameza,null,null,null
333,Garagoa,null,null,null
334,Garzon,null,null,null
335,Genova,null,null,null
336,Gigante,null,null,null
337,Ginebra,null,null,null
338,Giraldo,null,null,null
339,Girardot,null,null,null
340,Girardota,null,null,null
341,Giron,null,null,null
342,Gomez Plata,null,null,null
343,Gonzalez,null,null,null
344,Gramalote,null,null,null
345,Granada,null,null,null
346,Guaca,null,null,null
347,Guacamayas,null,null,null
348,Guacari,null,null,null
349,Guacheta,null,null,null
350,Guachucal,null,null,null
351,Guadalupe,null,null,null
352,Guaduas,null,null,null
353,Guaitarilla,null,null,null
354,Gualmatan,null,null,null
355,Guamal,null,null,null
356,Guamo,null,null,null
357,Guapi,null,null,null
358,Guapota,null,null,null
359,Guaranda,null,null,null
360,Guarne,null,null,null
361,Guasca,null,null,null
362,Guatape,null,null,null
363,Guataqui,null,null,null
364,Guatavita,null,null,null
365,Guateque,null,null,null
366,Guatica,null,null,null
367,Guavata,null,null,null
368,Guayabal de Siquima,null,null,null
369,Guayabetal,null,null,null
370,Guayata,null,null,null
371,Guepsa,null,null,null
372,Guican,null,null,null
373,Gutierrez,null,null,null
374,Hacari,null,null,null
375,Hatillo de Loba,null,null,null
376,Hato,null,null,null
377,Hato Corozal,null,null,null
378,Hatonuevo,null,null,null
379,Heliconia,null,null,null
380,Herran,null,null,null
381,Herveo,null,null,null
382,Hispania,null,null,null
383,Hobo,null,null,null
384,Honda,null,null,null
385,Ibague,null,null,null
386,Icononzo,null,null,null
387,Iles,null,null,null
388,Imes,null,null,null
389,Inza,null,null,null
390,Ipiales,null,null,null
391,Iquira,null,null,null
392,Isnos,null,null,null
393,Itagüi,null,null,null
394,Itsmina,null,null,null
395,Ituango,null,null,null
396,Iza,null,null,null
397,Jambalo,null,null,null
398,Jamundi,null,null,null
399,Jardin,null,null,null
400,Jenesano,null,null,null
401,Jerico,null,null,null
402,Jerusalen,null,null,null
403,Jess Maria,null,null,null
404,Jordan,null,null,null
405,Juan de Acosta,null,null,null
406,Junin,null,null,null
407,Jurado,null,null,null
408,La Apartada (Frontera),null,null,null
409,La Argentina,null,null,null
410,La Belleza,null,null,null
411,La Calera,null,null,null
412,La Capilla,null,null,null
413,La Ceja,null,null,null
414,La Celia,null,null,null
415,La Cruz,null,null,null
416,La Cumbre,null,null,null
417,La Dorada,null,null,null
418,La Esperanza,null,null,null
419,La Estrella,null,null,null
420,La Florida,null,null,null
421,La Gloria,null,null,null
422,La Jagua de Ibirico,null,null,null
423,La Llanada,null,null,null
424,La Macarena,null,null,null
425,La Merced,null,null,null
426,La Mesa,null,null,null
427,La Montanita,null,null,null
428,La Palma,null,null,null
429,La Paz,null,null,null
430,La Paz (Robles),null,null,null
431,La Pena,null,null,null
432,La Pintada,null,null,null
433,La Plata,null,null,null
434,La Playa,null,null,null
435,La Primavera,null,null,null
436,La Salina,null,null,null
437,La Sierra,null,null,null
438,La Tebaida,null,null,null
439,La Tola,null,null,null
440,La Ubita,null,null,null
441,La Union,null,null,null
442,La Uribe,null,null,null
443,La Vega,null,null,null
444,La Victoria,null,null,null
445,La Virginia,null,null,null
446,Labateca,null,null,null
447,Labranzagrande,null,null,null
448,Landazuri,null,null,null
449,Lebrija,null,null,null
450,Leiva,null,null,null
451,Lejanias,null,null,null
452,Lenguazaque,null,null,null
453,Lerida,null,null,null
454,Leticia,null,null,null
455,Libano,null,null,null
456,Liborina,null,null,null
457,Linares,null,null,null
458,Lloro,null,null,null
459,Lopez (Micay),null,null,null
460,Lorica,null,null,null
461,Los Andes (Sotomayor),null,null,null
462,Los Cordobas,null,null,null
463,Los Palmitos,null,null,null
464,Los Patios,null,null,null
465,Los Santos,null,null,null
466,Lourdes,null,null,null
467,Luruaco,null,null,null
468,Macanal,null,null,null
469,Macaravita,null,null,null
470,Maceo,null,null,null
471,Macheta,null,null,null
472,Madrid,null,null,null
473,Magangue,null,null,null
474,Magüi (Payan),null,null,null
475,Mahates,null,null,null
476,Maicao,null,null,null
477,Majagual,null,null,null
478,Malaga,null,null,null
479,Malambo,null,null,null
480,Mallama (Piedrancha),null,null,null
481,Manati,null,null,null
482,Manaure,null,null,null
483,Manaure Balcon Cesar,null,null,null
484,Mani,null,null,null
485,Manizales,null,null,null
486,Manta,null,null,null
487,Manzanares,null,null,null
488,Mapiripan,null,null,null
489,Margarita,null,null,null
490,Maria la Baja,null,null,null
491,Marinilla,null,null,null
492,Maripi,null,null,null
493,Mariquita,null,null,null
494,Marmato,null,null,null
495,Marquetalia,null,null,null
496,Marsella,null,null,null
